REF_DATE,GEO,DGUID,Sector,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2009,Canada,2016A000011124,Textile and textile product mills [BS31A],Cubic metres,72,thousands,3,v86719727,1.26,4070,,,,0
2009,Canada,2016A000011124,Clothing and leather and allied product manufacturing [BS31B],Cubic metres,72,thousands,3,v86719728,1.27,887,,,,0
2009,Canada,2016A000011124,Wood product manufacturing [BS321],Cubic metres,72,thousands,3,v86719729,1.28,24565,,,,0
2009,Canada,2016A000011124,Paper manufacturing [BS322],Cubic metres,72,thousands,3,v86719730,1.29,1678136,,,,0
2009,Canada,2016A000011124,Printing and related support activities [BS323],Cubic metres,72,thousands,3,v86719731,1.3,1202,,,,0
2009,Canada,2016A000011124,Petroleum and coal product manufacturing [BS324],Cubic metres,72,thousands,3,v86719732,1.31,316151,,,,0
2009,Canada,2016A000011124,Chemical manufacturing [BS325],Cubic metres,72,thousands,3,v86719733,1.32,352201,,,,0
2009,Canada,2016A000011124,Plastic and rubber products manufacturing [BS326],Cubic metres,72,thousands,3,v86719734,1.33,27570,,,,0
2009,Canada,2016A000011124,Non-metallic mineral product manufacturing [BS327],Cubic metres,72,thousands,3,v86719735,1.34,39042,,,,0
2009,Canada,2016A000011124,Primary metal manufacturing [BS331],Cubic metres,72,thousands,3,v86719736,1.35,1057979,,,,0
2009,Canada,2016A000011124,Fabricated metal product manufacturing [BS332],Cubic metres,72,thousands,3,v86719737,1.36,13879,,,,0
2009,Canada,2016A000011124,Machinery manufacturing [BS333],Cubic metres,72,thousands,3,v86719738,1.37,2663,,,,0
2009,Canada,2016A000011124,Computer and electronic product manufacturing [BS334],Cubic metres,72,thousands,3,v86719739,1.38,2581,,,,0
2009,Canada,2016A000011124,Electrical equipment and component manufacturing [BS335],Cubic metres,72,thousands,3,v86719740,1.39,1528,,,,0
2009,Canada,2016A000011124,Transportation equipment manufacturing [BS336],Cubic metres,72,thousands,3,v86719741,1.4,21390,,,,0
2009,Canada,2016A000011124,Furniture and related product manufacturing [BS337],Cubic metres,72,thousands,3,v86719742,1.41,1522,,,,0
2009,Canada,2016A000011124,Miscellaneous manufacturing [BS339],Cubic metres,72,thousands,3,v86719743,1.42,2796,,,,0
