"REF_DATE","GEO","DGUID","Variable","Product category","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2021A000011124","Plastic in products produced for Canadian consumption","Film","Tonnes","287","units","0","v1331406676","1.3.9","848353","","","","0"
"2012","Canada","2021A000011124","Plastic in products produced for Canadian consumption","Non-bottle rigid","Tonnes","287","units","0","v1331406677","1.3.10","425174","","","","0"
"2012","Canada","2021A000011124","Plastic in products produced for Canadian consumption","Other packaging products","Tonnes","287","units","0","v1331406678","1.3.11","76053","","","","0"
"2012","Canada","2021A000011124","Plastic in products produced for Canadian consumption","Agriculture film","Tonnes","287","units","0","v1331406679","1.3.12","37937","","","","0"
"2012","Canada","2021A000011124","Plastic in products produced for Canadian consumption","Textiles","Tonnes","287","units","0","v1331406680","1.3.13","277329","","","","0"
"2012","Canada","2021A000011124","Plastic in products produced for Canadian consumption","Vehicles","Tonnes","287","units","0","v1331406681","1.3.14","584643","","","","0"
"2012","Canada","2021A000011124","Plastic in products produced for Canadian consumption","Other products","Tonnes","287","units","0","v1331406682","1.3.15","1143524","","","","0"
"2012","Canada","2021A000011124","Net stock of plastic in products that remain in use at the end of each year","Total, all product categories","Tonnes","287","units","0","v1331406683","1.4.1","1260885","","","","0"
"2012","Canada","2021A000011124","Net stock of plastic in products that remain in use at the end of each year","Construction materials","Tonnes","287","units","0","v1331406684","1.4.2","1195655","","","","0"
"2012","Canada","2021A000011124","Net stock of plastic in products that remain in use at the end of each year","Electrical and electronic equipment","Tonnes","287","units","0","v1331406685","1.4.3","201938","","","","0"
"2012","Canada","2021A000011124","Net stock of plastic in products that remain in use at the end of each year","Electronics","Tonnes","287","units","0","v1331406686","1.4.4","30880","","","","0"
"2012","Canada","2021A000011124","Net stock of plastic in products that remain in use at the end of each year","Major appliances","Tonnes","287","units","0","v1331406687","1.4.5","103770","","","","0"
"2012","Canada","2021A000011124","Net stock of plastic in products that remain in use at the end of each year","Other electrical and electronic equipment","Tonnes","287","units","0","v1331406688","1.4.6","67287","","","","0"
"2012","Canada","2021A000011124","Net stock of plastic in products that remain in use at the end of each year","Packaging","Tonnes","287","units","0","v1331406689","1.4.7","-286720","","","","0"
"2012","Canada","2021A000011124","Net stock of plastic in products that remain in use at the end of each year","Bottles","Tonnes","287","units","0","v1331406690","1.4.8","-114055","","","","0"
"2012","Canada","2021A000011124","Net stock of plastic in products that remain in use at the end of each year","Film","Tonnes","287","units","0","v1331406691","1.4.9","-36067","","","","0"
"2012","Canada","2021A000011124","Net stock of plastic in products that remain in use at the end of each year","Non-bottle rigid","Tonnes","287","units","0","v1331406692","1.4.10","-126510","","","","0"
"2012","Canada","2021A000011124","Net stock of plastic in products that remain in use at the end of each year","Other packaging products","Tonnes","287","units","0","v1331406693","1.4.11","-10087","","","","0"
"2012","Canada","2021A000011124","Net stock of plastic in products that remain in use at the end of each year","Agriculture film","Tonnes","287","units","0","v1331406694","1.4.12","-802","","","","0"
"2012","Canada","2021A000011124","Net stock of plastic in products that remain in use at the end of each year","Textiles","Tonnes","287","units","0","v1331406695","1.4.13","12748","","","","0"
"2012","Canada","2021A000011124","Net stock of plastic in products that remain in use at the end of each year","Vehicles","Tonnes","287","units","0","v1331406696","1.4.14","107866","","","","0"
"2012","Canada","2021A000011124","Net stock of plastic in products that remain in use at the end of each year","Other products","Tonnes","287","units","0","v1331406697","1.4.15","30200","","","","0"
"2012","Canada","2021A000011124","Total discarded plastic in products","Total, all product categories","Tonnes","287","units","0","v1331406698","1.5.1","4319273","","","","0"
"2012","Canada","2021A000011124","Total discarded plastic in products","Construction materials","Tonnes","287","units","0","v1331406699","1.5.2","156824","","","","0"
