"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Canada","2021A000011124","Non-metallic mineral product manufacturing [BS327]","Cubic metres","72","thousands","3","v86719735","1.34","44282","","","","0"
"2011","Canada","2021A000011124","Primary metal manufacturing [BS331]","Cubic metres","72","thousands","3","v86719736","1.35","1076117","","","","0"
"2011","Canada","2021A000011124","Fabricated metal product manufacturing [BS332]","Cubic metres","72","thousands","3","v86719737","1.36","5997","","","","0"
"2011","Canada","2021A000011124","Machinery manufacturing [BS333]","Cubic metres","72","thousands","3","v86719738","1.37","3573","","","","0"
"2011","Canada","2021A000011124","Computer and electronic product manufacturing [BS334]","Cubic metres","72","thousands","3","v86719739","1.38","3458","","","","0"
"2011","Canada","2021A000011124","Electrical equipment and component manufacturing [BS335]","Cubic metres","72","thousands","3","v86719740","1.39","1099","","","","0"
"2011","Canada","2021A000011124","Transportation equipment manufacturing [BS336]","Cubic metres","72","thousands","3","v86719741","1.40","24070","","","","0"
"2011","Canada","2021A000011124","Furniture and related product manufacturing [BS337]","Cubic metres","72","thousands","3","v86719742","1.41","1364","","","","0"
"2011","Canada","2021A000011124","Miscellaneous manufacturing [BS339]","Cubic metres","72","thousands","3","v86719743","1.42","881","","","","0"
"2011","Canada","2021A000011124","Wholesale trade [BS41000]","Cubic metres","72","thousands","3","v86719744","1.43","57259","","","","0"
"2011","Canada","2021A000011124","Retail trade [BS4A000]","Cubic metres","72","thousands","3","v86719745","1.44","45269","","","","0"
"2011","Canada","2021A000011124","Air transportation [BS48100]","Cubic metres","72","thousands","3","v86719746","1.45","1416","","","","0"
"2011","Canada","2021A000011124","Rail transportation [BS48200]","Cubic metres","72","thousands","3","v86719747","1.46","7201","","","","0"
"2011","Canada","2021A000011124","Water transportation [BS48300]","Cubic metres","72","thousands","3","v86719748","1.47","2322","","","","0"
"2011","Canada","2021A000011124","Truck transportation [BS48400]","Cubic metres","72","thousands","3","v86719749","1.48","7614","","","","0"
"2011","Canada","2021A000011124","Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation [BS48B00]","Cubic metres","72","thousands","3","v86719750","1.49","23038","","","","0"
"2011","Canada","2021A000011124","Pipeline transportation [BS48600]","Cubic metres","72","thousands","3","v86719751","1.50","4235","","","","0"
"2011","Canada","2021A000011124","Postal service and couriers and messengers [BS49A00]","Cubic metres","72","thousands","3","v86719752","1.51","412","","","","0"
"2011","Canada","2021A000011124","Warehousing and storage [BS49300]","Cubic metres","72","thousands","3","v86719753","1.52","3736","","","","0"
"2011","Canada","2021A000011124","Motion picture and sound recording industries [BS51200]","Cubic metres","72","thousands","3","v86719754","1.53","2780","","","","0"
"2011","Canada","2021A000011124","Radio and television broadcasting [BS51510]","Cubic metres","72","thousands","3","v86719755","1.54","6","","","","0"
"2011","Canada","2021A000011124","Publishing, pay and specialty services, telecommunications and other information services [BS51B00]","Cubic metres","72","thousands","3","v86719756","1.55","3851","","","","0"
"2011","Canada","2021A000011124","Depository credit intermediation and monetary authorities [BS52B00]","Cubic metres","72","thousands","3","v86719757","1.56","21718","","","","0"
"2011","Canada","2021A000011124","Insurance carriers [BS52410]","Cubic metres","72","thousands","3","v86719758","1.57","310","","","","0"
"2011","Canada","2021A000011124","Lessors of real estate [BS53110]","Cubic metres","72","thousands","3","v86719759","1.58","158778","","","","0"
"2011","Canada","2021A000011124","Owner-occupied dwellings [BS5311A]","Cubic metres","72","thousands","3","v86719760","1.59","0","","","","0"
"2011","Canada","2021A000011124","Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00]","Cubic metres","72","thousands","3","v86719761","1.60","4891","","","","0"
"2011","Canada","2021A000011124","Other finance, insurance and real estate services and management of companies and enterprises [BS5A000]","Cubic metres","72","thousands","3","v86719762","1.61","72307","","","","0"
"2011","Canada","2021A000011124","Legal, accounting and architectural, engineering and related services [BS541C0]","Cubic metres","72","thousands","3","v86719763","1.62","8855","","","","0"
"2011","Canada","2021A000011124","Computer systems design and other professional, scientific and technical services [BS541D0]","Cubic metres","72","thousands","3","v86719764","1.63","4221","","","","0"
"2011","Canada","2021A000011124","Advertising, public relations and related services [BS54180]","Cubic metres","72","thousands","3","v86719765","1.64","124","","","","0"
"2011","Canada","2021A000011124","Administrative and support services [BS56100]","Cubic metres","72","thousands","3","v86719766","1.65","2903","","","","0"
"2011","Canada","2021A000011124","Waste management and remediation services [BS56200]","Cubic metres","72","thousands","3","v86719767","1.66","10053","","","","0"
"2011","Canada","2021A000011124","Educational services [BS61000]","Cubic metres","72","thousands","3","v86719768","1.67","15365","","","","0"
"2011","Canada","2021A000011124","Health care and social assistance [BS62000]","Cubic metres","72","thousands","3","v86719769","1.68","70793","","","","0"
"2011","Canada","2021A000011124","Arts, entertainment and recreation [BS71000]","Cubic metres","72","thousands","3","v86719770","1.69","4981","","","","0"
"2011","Canada","2021A000011124","Accommodation and food services [BS72000]","Cubic metres","72","thousands","3","v86719771","1.70","49606","","","","0"
"2011","Canada","2021A000011124","Repair and maintenance [BS81100]","Cubic metres","72","thousands","3","v86719772","1.71","11911","","","","0"
"2011","Canada","2021A000011124","Personal services and private households [BS81A00]","Cubic metres","72","thousands","3","v86719773","1.72","8367","","","","0"
"2011","Canada","2021A000011124","Professional and similar organisations [BS81300]","Cubic metres","72","thousands","3","v86719774","1.73","1754","","","","0"
"2011","Canada","2021A000011124","Repair and maintenance [FC11000]","Cubic metres","72","thousands","3","v86719775","1.74","0","","","","0"
"2011","Canada","2021A000011124","Operating supplies [FC12000]","Cubic metres","72","thousands","3","v86719776","1.75","0","","","","0"
"2011","Canada","2021A000011124","Office supplies [FC13000]","Cubic metres","72","thousands","3","v86719777","1.76","0","","","","0"
"2011","Canada","2021A000011124","Advertising, promotion, meals, entertainment, and travel [FC20000]","Cubic metres","72","thousands","3","v86719778","1.77","0","","","","0"
"2011","Canada","2021A000011124","Transportation margins [FC30000]","Cubic metres","72","thousands","3","v86719779","1.78","0","","","","0"
"2011","Canada","2021A000011124","Non-profit education services [NP61000]","Cubic metres","72","thousands","3","v86719780","1.79","14319","","","","0"
"2011","Canada","2021A000011124","Non-profit social assistance [NP62400]","Cubic metres","72","thousands","3","v86719781","1.80","17044","","","","0"
"2011","Canada","2021A000011124","Non-profit arts, entertainment and recreation [NP71000]","Cubic metres","72","thousands","3","v86719782","1.81","8687","","","","0"
"2011","Canada","2021A000011124","Religious organizations [NP81310]","Cubic metres","72","thousands","3","v86719783","1.82","51901","","","","0"
"2011","Canada","2021A000011124","Miscellaneous non-profit institutions serving households [NPA0000]","Cubic metres","72","thousands","3","v86719784","1.83","107994","","","","0"
"2011","Canada","2021A000011124","Educational services (except universities) [GS611B0]","Cubic metres","72","thousands","3","v86719785","1.84","8783","","","","0"
"2011","Canada","2021A000011124","Universities [GS61130]","Cubic metres","72","thousands","3","v86719786","1.85","12637","","","","0"
"2011","Canada","2021A000011124","Hospitals [GS62200]","Cubic metres","72","thousands","3","v86719787","1.86","41103","","","","0"
"2011","Canada","2021A000011124","Nursing and residential care facilities [GS62300]","Cubic metres","72","thousands","3","v86719788","1.87","1604","","","","0"
"2011","Canada","2021A000011124","Other federal government services [GS91100]","Cubic metres","72","thousands","3","v86719789","1.88","10446","","","","0"
"2011","Canada","2021A000011124","Other provincial and territorial government services [GS91200]","Cubic metres","72","thousands","3","v86719790","1.89","40924","","","","0"
"2011","Canada","2021A000011124","Other municipal government services [GS91300]","Cubic metres","72","thousands","3","v86719791","1.90","58535","","","","0"
"2011","Canada","2021A000011124","Other aboriginal government services [GS91400]","Cubic metres","72","thousands","3","v86719792","1.91","17534","","","","0"
"2011","Canada","2021A000011124","Households","Cubic metres","72","thousands","3","v86719793","1.92","3505870","","","","0"
"2013","Canada","2021A000011124","Total, industries and households","Cubic metres","72","thousands","3","v86719702","1.1","37197793","","","","0"
"2013","Canada","2021A000011124","Total, industries","Cubic metres","72","thousands","3","v86719703","1.2","34075247","","","","0"
"2013","Canada","2021A000011124","Crop production [BS111]","Cubic metres","72","thousands","3","v86719704","1.3","1008560","","","","0"
"2013","Canada","2021A000011124","Animal production [BS112]","Cubic metres","72","thousands","3","v86719705","1.4","938692","","","","0"
"2013","Canada","2021A000011124","Forestry and logging [BS11300]","Cubic metres","72","thousands","3","v86719706","1.5","426","","","","0"
"2013","Canada","2021A000011124","Fishing, hunting and trapping [BS11400]","Cubic metres","72","thousands","3","v86719707","1.6","","..","","","0"
"2013","Canada","2021A000011124","Support activities for agriculture and forestry [BS11500]","Cubic metres","72","thousands","3","v86719708","1.7","","..","","","0"
"2013","Canada","2021A000011124","Oil and gas extraction [BS21100]","Cubic metres","72","thousands","3","v86719709","1.8","365847","","","","0"
"2013","Canada","2021A000011124","Coal mining [BS21210]","Cubic metres","72","thousands","3","v86719710","1.9","91903","","","","0"
"2013","Canada","2021A000011124","Metal ore mining [BS21220]","Cubic metres","72","thousands","3","v86719711","1.10","368179","","","","0"
"2013","Canada","2021A000011124","Non-metallic mineral mining and quarrying [BS21230]","Cubic metres","72","thousands","3","v86719712","1.11","78241","","","","0"
"2013","Canada","2021A000011124","Support activities for mining and oil and gas extraction [BS21300]","Cubic metres","72","thousands","3","v86719713","1.12","30","","","","0"
"2013","Canada","2021A000011124","Electric power generation, transmission and distribution [BS22110]","Cubic metres","72","thousands","3","v86719714","1.13","25145462","","","","0"
